participant_id,group,song_id,song_title,mix_id,stimulus_id,original_mix_name,episode,episode_label,presentation_order,expected_rating,rating,comment,rms_mean,crest_factor_mean,stereo_width,stereo_imbalance,z_RMS,z_CF,z_SW,z_SI,z_SI_role
P001,group_01,lead_me,Lead Me,mix_f1f7973e5bac,lead_me_du_d,DU-D,EDR-1,EDR-1 - Enjoying Free Time,1,74.15400749405266,80.01623080764544,Synthetic placeholder comment - real study requires a qualitative response.,0.0625870004296,13.8143320084,0.117576912045,-0.0521329641342,0.7402857811167308,-1.5487174220553621,0.3280479404435016,-1.017146833506479,optional_qc_sensitivity_predictor
P001,group_01,lead_me,Lead Me,mix_271852ba8676,lead_me_du_e,DU-E,EDR-1,EDR-1 - Enjoying Free Time,2,73.15350797956143,80.26577377748997,Synthetic placeholder comment - real study requires a qualitative response.,0.0543773770332,19.2538223267,0.0430038608611,0.0436125770211,-1.0250576971995913,0.5199952869185839,-0.8666083508697964,0.9959336464039888,optional_qc_sensitivity_predictor
P001,group_01,lead_me,Lead Me,mix_d5b28dfc8a93,lead_me_pxl_l1,PXL-L1,EDR-1,EDR-1 - Enjoying Free Time,3,67.11018810159197,75.04366045359123,Synthetic placeholder comment - real study requires a qualitative response.,0.0591329820454,16.9195213318,0.0170932952315,-0.0129087874666,-0.0024436394808062586,-0.3677713699084406,-1.2816942263900757,-0.19244603347622857,optional_qc_sensitivity_predictor
P001,group_01,lead_me,Lead Me,mix_c7d9a071ba25,lead_me_pxl_l4,PXL-L4,EDR-1,EDR-1 - Enjoying Free Time,4,71.59854325336904,68.11129253088467,Synthetic placeholder comment - real study requires a qualitative response.,0.0588876381516,15.6746520996,0.149041607976,0.109930999577,-0.05520077850553647,-0.8412121981784734,0.8321106863211235,2.390299590706203,optional_qc_sensitivity_predictor
P001,group_01,lead_me,Lead Me,mix_d3e3580b6e30,lead_me_mcg_pro2,McG-pro2,EDR-1,EDR-1 - Enjoying Free Time,5,71.02116568373908,66.39764775709341,Synthetic placeholder comment - real study requires a qualitative response.,0.0730051249266,20.1463222504,0.0392760001123,-0.00143597240094,2.9805308263561203,0.8594252384169624,-0.9263284806752846,0.048773555233824005,optional_qc_sensitivity_predictor
P001,group_01,lead_me,Lead Me,mix_271852ba8676,lead_me_du_e,DU-E,EDR-2,EDR-2 - Unwinding After a Demanding Period,1,69.65350797956143,56.896644746182204,Synthetic placeholder comment - real study requires a qualitative response.,0.0543773770332,19.2538223267,0.0430038608611,0.0436125770211,-1.0250576971995913,0.5199952869185839,-0.8666083508697964,0.9959336464039888,optional_qc_sensitivity_predictor
P001,group_01,lead_me,Lead Me,mix_f1f7973e5bac,lead_me_du_d,DU-D,EDR-2,EDR-2 - Unwinding After a Demanding Period,2,70.65400749405266,59.321135354017855,Synthetic placeholder comment - real study requires a qualitative response.,0.0625870004296,13.8143320084,0.117576912045,-0.0521329641342,0.7402857811167308,-1.5487174220553621,0.3280479404435016,-1.017146833506479,optional_qc_sensitivity_predictor
P001,group_01,lead_me,Lead Me,mix_c7d9a071ba25,lead_me_pxl_l4,PXL-L4,EDR-2,EDR-2 - Unwinding After a Demanding Period,3,68.09854325336904,58.90402039335293,Synthetic placeholder comment - real study requires a qualitative response.,0.0588876381516,15.6746520996,0.149041607976,0.109930999577,-0.05520077850553647,-0.8412121981784734,0.8321106863211235,2.390299590706203,optional_qc_sensitivity_predictor
P001,group_01,lead_me,Lead Me,mix_d3e3580b6e30,lead_me_mcg_pro2,McG-pro2,EDR-2,EDR-2 - Unwinding After a Demanding Period,4,67.52116568373908,72.49277312427672,Synthetic placeholder comment - real study requires a qualitative response.,0.0730051249266,20.1463222504,0.0392760001123,-0.00143597240094,2.9805308263561203,0.8594252384169624,-0.9263284806752846,0.048773555233824005,optional_qc_sensitivity_predictor
P001,group_01,lead_me,Lead Me,mix_d5b28dfc8a93,lead_me_pxl_l1,PXL-L1,EDR-2,EDR-2 - Unwinding After a Demanding Period,5,63.61018810159197,65.03444546229763,Synthetic placeholder comment - real study requires a qualitative response.,0.0591329820454,16.9195213318,0.0170932952315,-0.0129087874666,-0.0024436394808062586,-0.3677713699084406,-1.2816942263900757,-0.19244603347622857,optional_qc_sensitivity_predictor
