song_id,group,episode,stimulus_id,mix_id,posterior_mean_expected_rating,hdi_3,hdi_97,posterior_probability_highest,is_final_predicted_winner,draw_level_tie_probability,final_probability_tie_flag
id_like_to_know,group_01,EDR-1,id_like_to_know_pxl_s1,mix_9ffcd672af17,50.781492548404565,41.260777050788064,59.89884686813052,0.012,False,0.0,False
id_like_to_know,group_01,EDR-1,id_like_to_know_pxl_s2,mix_6f8b655d7999,61.416667800901024,52.4028372729967,70.80484032680907,0.78675,True,0.0,False
id_like_to_know,group_01,EDR-1,id_like_to_know_pxl_s3,mix_65f41f41d3ab,56.60908766946527,47.43805445664634,65.61920913008603,0.1815,False,0.0,False
id_like_to_know,group_01,EDR-1,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,45.45426113881999,36.22738338134535,54.64894261849198,0.0,False,0.0,False
id_like_to_know,group_01,EDR-1,id_like_to_know_pxl_s7,mix_b393d3919c78,52.18325247830936,42.890504796317174,61.21222535264981,0.01975,False,0.0,False
id_like_to_know,group_01,EDR-2,id_like_to_know_pxl_s1,mix_9ffcd672af17,52.92858188066172,43.58863186452533,62.22962756680086,0.012,False,0.0,False
id_like_to_know,group_01,EDR-2,id_like_to_know_pxl_s2,mix_6f8b655d7999,63.56375713315817,54.675571004779506,73.16009804161342,0.78675,True,0.0,False
id_like_to_know,group_01,EDR-2,id_like_to_know_pxl_s3,mix_65f41f41d3ab,58.75617700172242,49.0994332983948,67.50668204900197,0.1815,False,0.0,False
id_like_to_know,group_01,EDR-2,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,47.60135047107715,38.13515661712072,56.92443866606602,0.0,False,0.0,False
id_like_to_know,group_01,EDR-2,id_like_to_know_pxl_s7,mix_b393d3919c78,54.3303418105665,45.501554012009834,63.63368570644294,0.01975,False,0.0,False
id_like_to_know,group_01,FM-1,id_like_to_know_pxl_s1,mix_9ffcd672af17,44.48993823722075,35.45405729576632,54.1118640325698,0.012,False,0.0,False
id_like_to_know,group_01,FM-1,id_like_to_know_pxl_s2,mix_6f8b655d7999,55.125113489717194,45.9786998030194,64.3864311990013,0.78675,True,0.0,False
id_like_to_know,group_01,FM-1,id_like_to_know_pxl_s3,mix_65f41f41d3ab,50.317533358281445,41.21507319456911,59.702494035550856,0.1815,False,0.0,False
id_like_to_know,group_01,FM-1,id_like_to_know_pxl_s5,mix_82d60d7c7fc5,39.16270682763617,29.209528959726224,47.864462400024514,0.0,False,0.0,False
id_like_to_know,group_01,FM-1,id_like_to_know_pxl_s7,mix_b393d3919c78,45.891698167125526,36.673319807846404,55.02686642663581,0.01975,False,0.0,False
in_the_meantime,group_02,EDR-1,in_the_meantime_du_h,mix_302f0efe8a80,73.79795554924816,64.18774910764203,84.41002176448362,0.97275,True,0.0,False
in_the_meantime,group_02,EDR-1,in_the_meantime_du_i,mix_9baa86357fd4,61.65605184478824,51.391481103006,71.22584067558523,0.016,False,0.0,False
in_the_meantime,group_02,EDR-1,in_the_meantime_du_k,mix_56e65a3ce054,28.02948725037381,17.64530870919112,38.26704234760056,0.0,False,0.0,False
in_the_meantime,group_02,EDR-1,in_the_meantime_qut_b,mix_c7bdcba64775,49.291160033110245,39.34231629388243,59.387545730464154,0.0,False,0.0,False
in_the_meantime,group_02,EDR-1,in_the_meantime_qut_pro,mix_cdaef40f2b94,60.797153480386676,50.47857181777035,71.08272604487824,0.01125,False,0.0,False
in_the_meantime,group_02,EDR-2,in_the_meantime_du_h,mix_302f0efe8a80,75.9450448815053,66.06916577576885,85.90768607706592,0.97275,True,0.0,False
in_the_meantime,group_02,EDR-2,in_the_meantime_du_i,mix_9baa86357fd4,63.80314117704538,54.17418706021491,73.82294163617657,0.016,False,0.0,False
in_the_meantime,group_02,EDR-2,in_the_meantime_du_k,mix_56e65a3ce054,30.176576582630958,20.395760273112387,40.59359580685661,0.0,False,0.0,False
in_the_meantime,group_02,EDR-2,in_the_meantime_qut_b,mix_c7bdcba64775,51.43824936536739,41.73306863275081,61.39767454644597,0.0,False,0.0,False
