artist,song,rating_condition,original_mix_name,mean_previous_preference,rating_count,triplet_rating_spread,minimum_acoustic_distance_within_triplet,stereo_imbalance_qc_flag,automatic_alignment_status,maximum_triplet_alignment_offset_ms,waveform_booklet_checked,rapid_switch_checked,technically_acceptable,sufficiently_distinct_from_other_two,alignment_acceptable,suitable_for_condition,retain,replacement_requested,reviewer,review_date,reviewer_comments
Fredy V,In The Meantime,Similar Ratings,QUT-B,0.169541,16,0.390847391526,3.41830268237,false,FAIL,34.8299319728,,,,,,,,,,,
Fredy V,In The Meantime,Similar Ratings,DU-H,0.560388,54,0.390847391526,3.41830268237,false,FAIL,34.8299319728,,,,,,,,,,,
Fredy V,In The Meantime,Similar Ratings,DU-I,0.531178,38,0.390847391526,3.41830268237,false,FAIL,34.8299319728,,,,,,,,,,,
Fredy V,In The Meantime,Wide Ratings,DU-K,0.136285,38,0.448325994554,2.5855827592,false,REVIEW,23.2199546485,,,,,,,,,,,
Fredy V,In The Meantime,Wide Ratings,QUT-pro,0.584611,16,0.448325994554,2.5855827592,false,REVIEW,23.2199546485,,,,,,,,,,,
Fredy V,In The Meantime,Wide Ratings,DU-N,0.428149,38,0.448325994554,2.5855827592,false,REVIEW,23.2199546485,,,,,,,,,,,
The DoneFors,Lead Me,Similar Ratings,DU-D,0.344929,39,0.056415128416,3.16805889374,false,FAIL,46.4399092971,,,,,,,,,,,
The DoneFors,Lead Me,Similar Ratings,DU-E,0.288513,39,0.056415128416,3.16805889374,false,FAIL,46.4399092971,,,,,,,,,,,
The DoneFors,Lead Me,Similar Ratings,QUT-F,0.320525,16,0.056415128416,3.16805889374,false,FAIL,46.4399092971,,,,,,,,,,,
The DoneFors,Lead Me,Wide Ratings,PXL-L1,0.331807,36,0.215558455603,2.92257247514,false,FAIL,46.4399092971,,,,,,,,,,,
The DoneFors,Lead Me,Wide Ratings,PXL-L4,0.516818,6,0.215558455603,2.92257247514,false,FAIL,46.4399092971,,,,,,,,,,,
The DoneFors,Lead Me,Wide Ratings,McG-pro2,0.547365,45,0.215558455603,2.92257247514,false,FAIL,46.4399092971,,,,,,,,,,,
Young Griffo,Pouring Room,Similar Ratings,McG-R,0.391331,40,0.075551855144,1.88514897969,false,REVIEW,0,,,,,,,,,,,
Young Griffo,Pouring Room,Similar Ratings,McG-T,0.315779,40,0.075551855144,1.88514897969,false,REVIEW,0,,,,,,,,,,,
Young Griffo,Pouring Room,Similar Ratings,McG-X,0.326821,40,0.075551855144,1.88514897969,false,REVIEW,0,,,,,,,,,,,
Young Griffo,Pouring Room,Wide Ratings,McG-pro1,0.741587,40,0.282128519389,1.69525800496,false,FAIL,58.0498866213,,,,,,,,,,,
Young Griffo,Pouring Room,Wide Ratings,McG-U,0.459459,40,0.282128519389,1.69525800496,false,FAIL,58.0498866213,,,,,,,,,,,
Young Griffo,Pouring Room,Wide Ratings,McG-V,0.510319,40,0.282128519389,1.69525800496,false,FAIL,58.0498866213,,,,,,,,,,,
Broken Crank,Red To Blue,Similar Ratings,McG-B,0.527445,26,0.207260722208,2.59969815564,true,REVIEW,11.6099773243,,,,,,,,,,,
Broken Crank,Red To Blue,Similar Ratings,McG-G,0.513282,26,0.207260722208,2.59969815564,false,REVIEW,11.6099773243,,,,,,,,,,,
Broken Crank,Red To Blue,Similar Ratings,McG-F,0.320185,26,0.207260722208,2.59969815564,false,REVIEW,11.6099773243,,,,,,,,,,,
Broken Crank,Red To Blue,Wide Ratings,McG-C,0.589852,26,0.228365662709,1.94841652108,false,PASS,0,,,,,,,,,,,
Broken Crank,Red To Blue,Wide Ratings,McG-H,0.444789,26,0.228365662709,1.94841652108,false,PASS,0,,,,,,,,,,,
Broken Crank,Red To Blue,Wide Ratings,McG-pro1,0.361486,26,0.228365662709,1.94841652108,false,PASS,0,,,,,,,,,,,
