song_id,episode,stimulus_id,mix_id,posterior_mean_rating,hdi_3%,hdi_97%,posterior_probability_highest,is_final_predicted_winner,final_probability_tie,draw_level_tie_probability
Song_1,Relaxation,Song_1_Mix_1,Mix_1,66.7765,64.6593,69.0456,0.0,False,False,0.0
Song_1,Relaxation,Song_1_Mix_2,Mix_2,64.2978,61.7388,66.6823,0.0,False,False,0.0
Song_1,Relaxation,Song_1_Mix_3,Mix_3,72.4479,70.0552,75.0725,1.0,True,False,0.0
Song_2,Relaxation,Song_2_Mix_1,Mix_1,63.0705,60.7612,65.3283,0.0092,False,False,0.0
Song_2,Relaxation,Song_2_Mix_2,Mix_2,58.4615,56.1017,60.6221,0.0,False,False,0.0
Song_2,Relaxation,Song_2_Mix_3,Mix_3,66.5825,63.6719,69.6422,0.9908,True,False,0.0
Song_3,Relaxation,Song_3_Mix_1,Mix_1,63.9166,61.8438,65.9826,0.9508,True,False,0.0
Song_3,Relaxation,Song_3_Mix_2,Mix_2,60.4275,56.8587,64.7786,0.0468,False,False,0.0
Song_3,Relaxation,Song_3_Mix_3,Mix_3,61.7415,59.0671,64.3785,0.0025,False,False,0.0
Song_4,Relaxation,Song_4_Mix_1,Mix_1,65.5212,62.9169,67.826,0.076,False,False,0.0
Song_4,Relaxation,Song_4_Mix_2,Mix_2,66.8285,64.6348,68.9935,0.924,True,False,0.0
Song_4,Relaxation,Song_4_Mix_3,Mix_3,64.487,62.1213,66.9876,0.0,False,False,0.0
Song_1,Distraction,Song_1_Mix_1,Mix_1,63.5714,61.2923,65.7824,0.0,False,False,0.0
Song_1,Distraction,Song_1_Mix_2,Mix_2,60.8311,58.6109,63.5181,0.0,False,False,0.0
Song_1,Distraction,Song_1_Mix_3,Mix_3,69.2526,66.7835,71.893,1.0,True,False,0.0
Song_2,Distraction,Song_2_Mix_1,Mix_1,60.267,58.0806,62.6296,0.0,False,False,0.0
Song_2,Distraction,Song_2_Mix_2,Mix_2,57.2391,55.1176,59.5878,0.0,False,False,0.0
Song_2,Distraction,Song_2_Mix_3,Mix_3,65.8577,62.7948,68.7464,1.0,True,False,0.0
