artist,song,feature,median,q25,q75,iqr,near_zero_iqr,retained,scale_formula
Broken Crank,Red To Blue,rms_mean,0.0489511303604,0.0461302995682,0.0507879462094,0.00465764664115,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
Broken Crank,Red To Blue,crest_factor_mean,15.9809007645,15.5014309883,16.1965475082,0.695116519925,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
Broken Crank,Red To Blue,stereo_width,0.0925892367959,0.0566343562677,0.115516869351,0.0588825130835,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
Broken Crank,Red To Blue,stereo_imbalance,-0.00363032508176,-0.0100495459046,0.0215078686597,0.0315574145643,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
Fredy V,In The Meantime,rms_mean,0.0556295216083,0.0539336726069,0.0575443198905,0.00361064728353,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
Fredy V,In The Meantime,crest_factor_mean,18.673746109,17.6007623672,20.109295845,2.50853347775,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
Fredy V,In The Meantime,stereo_width,0.0711502581835,0.0502111306414,0.117553152144,0.0673420215026,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
Fredy V,In The Meantime,stereo_imbalance,-0.019067209214,-0.0356172407046,0.00280225794995,0.0384194986545,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
The DoneFors,Lead Me,rms_mean,0.0656963214278,0.0632263720036,0.0685282424092,0.0053018704056,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
The DoneFors,Lead Me,crest_factor_mean,17.6423492432,15.6746520996,18.4289340973,2.7542819977,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
The DoneFors,Lead Me,stereo_width,0.0534347854555,0.0392760001123,0.0777368620038,0.0384608618915,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
The DoneFors,Lead Me,stereo_imbalance,0.00736099667847,-0.0219697598368,0.0728241205215,0.0947938803583,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
The DoneFors,Pouring Room,rms_mean,0.0600788630545,0.0592991933227,0.0612343810499,0.0019351877272,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
The DoneFors,Pouring Room,crest_factor_mean,18.8200149536,18.2459716797,19.9389343262,1.6929626465,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
The DoneFors,Pouring Room,stereo_width,0.0962855145335,0.0795278027654,0.147577553988,0.0680497512226,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
The DoneFors,Pouring Room,stereo_imbalance,-0.0455747283995,-0.0488145165145,0.0272651258856,0.0760796424001,false,true,(value - median) / IQR; zero/near-zero IQR dimensions are retained as all-zero only when division is mathematically unsafe
