participant_id,group,song_id,mix_id,stimulus_id,episode,presentation_order,z_RMS,z_CF,z_SW,z_SI,expected_rating,rating
P001,Group_1,Song_1,Mix_2,Song_1_Mix_2,Relaxation,1,0.3729849445845034,-0.17486643065962673,-1.3027979220465322,-0.4289466675093337,72.0175,64.7
P001,Group_1,Song_1,Mix_1,Song_1_Mix_1,Relaxation,2,1.443428649762309,0.7856275774961273,-0.5413926603692519,-0.49880305263901464,74.7237,79.0
P001,Group_1,Song_1,Mix_3,Song_1_Mix_3,Relaxation,3,0.9363158987707103,-1.970943713619291,0.039692167170006815,-0.6592642838147547,79.8887,80.3
P001,Group_1,Song_1,Mix_1,Song_1_Mix_1,Distraction,1,1.443428649762309,0.7856275774961273,-0.5413926603692519,-0.49880305263901464,71.3258,69.5
P001,Group_1,Song_1,Mix_2,Song_1_Mix_2,Distraction,2,0.3729849445845034,-0.17486643065962673,-1.3027979220465322,-0.4289466675093337,68.7454,79.4
P001,Group_1,Song_1,Mix_3,Song_1_Mix_3,Distraction,3,0.9363158987707103,-1.970943713619291,0.039692167170006815,-0.6592642838147547,76.202,66.4
P001,Group_1,Song_1,Mix_3,Song_1_Mix_3,Enjoyment,1,0.9363158987707103,-1.970943713619291,0.039692167170006815,-0.6592642838147547,82.8887,76.8
P001,Group_1,Song_1,Mix_2,Song_1_Mix_2,Enjoyment,2,0.3729849445845034,-0.17486643065962673,-1.3027979220465322,-0.4289466675093337,75.0175,67.6
P001,Group_1,Song_1,Mix_1,Song_1_Mix_1,Enjoyment,3,1.443428649762309,0.7856275774961273,-0.5413926603692519,-0.49880305263901464,77.7237,84.4
P001,Group_1,Song_1,Mix_1,Song_1_Mix_1,Focus,1,1.443428649762309,0.7856275774961273,-0.5413926603692519,-0.49880305263901464,75.1409,74.0
P001,Group_1,Song_1,Mix_3,Song_1_Mix_3,Focus,2,0.9363158987707103,-1.970943713619291,0.039692167170006815,-0.6592642838147547,81.4681,75.5
P001,Group_1,Song_1,Mix_2,Song_1_Mix_2,Focus,3,0.3729849445845034,-0.17486643065962673,-1.3027979220465322,-0.4289466675093337,70.9119,74.3
P001,Group_1,Song_1,Mix_1,Song_1_Mix_1,Motivation,1,1.443428649762309,0.7856275774961273,-0.5413926603692519,-0.49880305263901464,75.8702,81.8
P001,Group_1,Song_1,Mix_2,Song_1_Mix_2,Motivation,2,0.3729849445845034,-0.17486643065962673,-1.3027979220465322,-0.4289466675093337,71.2605,66.1
P001,Group_1,Song_1,Mix_3,Song_1_Mix_3,Motivation,3,0.9363158987707103,-1.970943713619291,0.039692167170006815,-0.6592642838147547,82.4879,99.6
P001,Group_1,Song_2,Mix_1,Song_2_Mix_1,Relaxation,1,-0.7397659523284557,-0.872977567729806,-0.8023965613990739,-0.1973708216846843,71.3153,79.4
P001,Group_1,Song_2,Mix_2,Song_2_Mix_2,Relaxation,2,-1.8547642649912035,0.2299602950789523,0.26216513887340237,0.39131398786691707,68.1781,48.2
P001,Group_1,Song_2,Mix_3,Song_2_Mix_3,Relaxation,3,-1.426424682211786,-1.6172115428334835,1.8054546671390082,0.23134636039016215,76.161,91.1
P001,Group_1,Song_2,Mix_3,Song_2_Mix_3,Distraction,1,-1.426424682211786,-1.6172115428334835,1.8054546671390082,0.23134636039016215,74.0775,63.0
P001,Group_1,Song_2,Mix_2,Song_2_Mix_2,Distraction,2,-1.8547642649912035,0.2299602950789523,0.26216513887340237,0.39131398786691707,66.3825,69.2
P001,Group_1,Song_2,Mix_1,Song_2_Mix_1,Distraction,3,-0.7397659523284557,-0.872977567729806,-0.8023965613990739,-0.1973708216846843,68.46,79.5
P001,Group_1,Song_2,Mix_1,Song_2_Mix_1,Enjoyment,1,-0.7397659523284557,-0.872977567729806,-0.8023965613990739,-0.1973708216846843,74.3153,83.4
P001,Group_1,Song_2,Mix_2,Song_2_Mix_2,Enjoyment,2,-1.8547642649912035,0.2299602950789523,0.26216513887340237,0.39131398786691707,71.1781,68.7
P001,Group_1,Song_2,Mix_3,Song_2_Mix_3,Enjoyment,3,-1.426424682211786,-1.6172115428334835,1.8054546671390082,0.23134636039016215,79.161,74.6
P001,Group_1,Song_2,Mix_3,Song_2_Mix_3,Focus,1,-1.426424682211786,-1.6172115428334835,1.8054546671390082,0.23134636039016215,81.272,74.6
P001,Group_1,Song_2,Mix_2,Song_2_Mix_2,Focus,2,-1.8547642649912035,0.2299602950789523,0.26216513887340237,0.39131398786691707,70.2024,72.1
P001,Group_1,Song_2,Mix_1,Song_2_Mix_1,Focus,3,-0.7397659523284557,-0.872977567729806,-0.8023965613990739,-0.1973708216846843,71.2105,73.5
P001,Group_1,Song_2,Mix_1,Song_2_Mix_1,Motivation,1,-0.7397659523284557,-0.872977567729806,-0.8023965613990739,-0.1973708216846843,71.8093,83.6
P001,Group_1,Song_2,Mix_2,Song_2_Mix_2,Motivation,2,-1.8547642649912035,0.2299602950789523,0.26216513887340237,0.39131398786691707,71.3335,68.8
P001,Group_1,Song_2,Mix_3,Song_2_Mix_3,Motivation,3,-1.426424682211786,-1.6172115428334835,1.8054546671390082,0.23134636039016215,83.1747,92.3
P002,Group_1,Song_1,Mix_3,Song_1_Mix_3,Relaxation,1,0.9363158987707103,-1.970943713619291,0.039692167170006815,-0.6592642838147547,70.4831,75.9
P002,Group_1,Song_1,Mix_1,Song_1_Mix_1,Relaxation,2,1.443428649762309,0.7856275774961273,-0.5413926603692519,-0.49880305263901464,65.3181,56.4
P002,Group_1,Song_1,Mix_2,Song_1_Mix_2,Relaxation,3,0.3729849445845034,-0.17486643065962673,-1.3027979220465322,-0.4289466675093337,62.6119,58.1
