song,condition,triplet_id,rank,objective_score,original_mix_names,mix_ids,mean_ratings,rating_bins,rating_spread,minimum_acoustic_distance,mean_acoustic_distance,acoustic_score,rating_score,coverage_bonus,qc_penalty,qc_statuses,qc_flags,rating_counts,overlap_count,overlap_original_mix_names,selection_notes
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00189,1,0.812727656484,QUT-B|DU-H|DU-I,mix_c7bdcba64775|mix_302f0efe8a80|mix_9baa86357fd4,0.169541|0.560388|0.531178,low|high|medium,0.390847391526,3.41830268237,4.34380541171,0.946073161462,0.279345636573,0,0,clear|clear|clear,false|false|false,16|54|38,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00461,2,0.807667053616,DU-H|DU-I|QUT-pro,mix_302f0efe8a80|mix_9baa86357fd4|mix_cdaef40f2b94,0.560388|0.531178|0.584611,high|medium|high,0.053433036324,3.13630445374,3.2537342211,0.77827904672,0.9252190812,0,0,clear|clear|clear,false|false|false,54|38|16,1,QUT-pro,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00211,3,0.797332583721,QUT-B|DU-I|QUT-A,mix_c7bdcba64775|mix_9baa86357fd4|mix_13f0eed08780,0.169541|0.531178|0.404061,low|medium|medium,0.361637542508,3.52199243066,4.36037826367,0.975351057942,0.335258686837,0,0.05,clear|clear|review,false|false|true,16|38|16,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00174,4,0.781046223078,QUT-B|DU-K|QUT-pro,mix_c7bdcba64775|mix_56e65a3ce054|mix_cdaef40f2b94,0.169541|0.136285|0.584611,low|low|high,0.448325994554,3.37008746851,4.35409616196,0.933977537387,0.169320965845,0,0,clear|clear|clear,false|false|false,16|38|16,2,DU-K|QUT-pro,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00188,5,0.775605080354,QUT-B|DU-K|McG-F,mix_c7bdcba64775|mix_56e65a3ce054|mix_ce153583405d,0.169541|0.136285|0.250365,low|low|low,0.114079270027,2.86055060316,4.00146749537,0.767223605481,0.809130979845,0,0,clear|clear|clear,false|false|false,16|38|49,1,DU-K,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00180,6,0.768426601016,QUT-B|DU-K|QUT-A,mix_c7bdcba64775|mix_56e65a3ce054|mix_13f0eed08780,0.169541|0.136285|0.404061,low|low|medium,0.26777608711,3.35601357334,3.92869710529,0.894301535738,0.514926862127,0,0.05,clear|clear|review,false|false|true,16|38|16,1,DU-K,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00205,7,0.763634033184,QUT-B|DU-I|QUT-pro,mix_c7bdcba64775|mix_9baa86357fd4|mix_cdaef40f2b94,0.169541|0.531178|0.584611,low|medium|high,0.415070578832,3.13630445374,4.65252336298,0.896298046835,0.232977978576,0,0,clear|clear|clear,false|false|false,16|38|16,1,QUT-pro,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00220,8,0.759963270789,QUT-B|QUT-pro|QUT-C,mix_c7bdcba64775|mix_cdaef40f2b94|mix_82d5489162f9,0.169541|0.584611|0.190952,low|high|low,0.415070578832,3.28528530809,4.1233717366,0.891709593843,0.232977978576,0,0,clear|clear|clear,false|false|false,16|16|16,1,QUT-pro,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00190,9,0.759918828831,QUT-B|DU-H|QUT-pro,mix_c7bdcba64775|mix_302f0efe8a80|mix_cdaef40f2b94,0.169541|0.560388|0.584611,low|high|high,0.415070578832,3.20659552719,4.37347980113,0.891654041395,0.232977978576,0,0,clear|clear|clear,false|false|false,16|54|16,1,QUT-pro,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
In The Meantime,Similar Ratings,InTheMeantime_SimilarRatings_00193,10,0.730312957932,QUT-B|DU-H|DU-J,mix_c7bdcba64775|mix_302f0efe8a80|mix_22efc79c8253,0.169541|0.560388|0.490455,low|high|medium,0.390847391526,3.27928337606,4.30659505634,0.905554788271,0.279345636573,0,0.05,clear|clear|review,false|false|true,16|54|38,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
Lead Me,Similar Ratings,LeadMe_SimilarRatings_00209,1,0.952639800185,DU-D|DU-E|QUT-F,mix_f1f7973e5bac|mix_271852ba8676|mix_4e2cf7c970a8,0.344929|0.288513|0.320525,low|low|low,0.056415128416,3.16805889374,3.36903625283,0.974978095356,0.863286619499,0,0,clear|clear|clear,false|false|false,39|39|16,0,,Acoustic diversity weighted 0.8; rating stratification weighted 0.2; ratings did not modify acoustic distances.
