song,triplet_id,condition,mean_rating,minimum_rating,maximum_rating,rating_spread,rating_bins,rating_counts
In The Meantime,InTheMeantime_SimilarRatings_00189,Similar Ratings,0.420369,0.169541,0.560388,0.390847391526,low|high|medium,16|54|38
In The Meantime,InTheMeantime_SimilarRatings_00461,Similar Ratings,0.558725666667,0.531178,0.584611,0.053433036324,high|medium|high,54|38|16
In The Meantime,InTheMeantime_SimilarRatings_00211,Similar Ratings,0.36826,0.169541,0.531178,0.361637542508,low|medium|medium,16|38|16
In The Meantime,InTheMeantime_SimilarRatings_00174,Similar Ratings,0.296812333333,0.136285,0.584611,0.448325994554,low|low|high,16|38|16
In The Meantime,InTheMeantime_SimilarRatings_00188,Similar Ratings,0.185397,0.136285,0.250365,0.114079270027,low|low|low,16|38|49
In The Meantime,InTheMeantime_SimilarRatings_00180,Similar Ratings,0.236629,0.136285,0.404061,0.26777608711,low|low|medium,16|38|16
In The Meantime,InTheMeantime_SimilarRatings_00205,Similar Ratings,0.428443333333,0.169541,0.584611,0.415070578832,low|medium|high,16|38|16
In The Meantime,InTheMeantime_SimilarRatings_00220,Similar Ratings,0.315034666667,0.169541,0.584611,0.415070578832,low|high|low,16|16|16
In The Meantime,InTheMeantime_SimilarRatings_00190,Similar Ratings,0.43818,0.169541,0.584611,0.415070578832,low|high|high,16|54|16
In The Meantime,InTheMeantime_SimilarRatings_00193,Similar Ratings,0.406794666667,0.169541,0.560388,0.390847391526,low|high|medium,16|54|38
In The Meantime,InTheMeantime_WideRatings_00189,Wide Ratings,0.420369,0.169541,0.560388,0.390847391526,low|high|medium,16|54|38
In The Meantime,InTheMeantime_WideRatings_00174,Wide Ratings,0.296812333333,0.136285,0.584611,0.448325994554,low|low|high,16|38|16
In The Meantime,InTheMeantime_WideRatings_00205,Wide Ratings,0.428443333333,0.169541,0.584611,0.415070578832,low|medium|high,16|38|16
In The Meantime,InTheMeantime_WideRatings_00220,Wide Ratings,0.315034666667,0.169541,0.584611,0.415070578832,low|high|low,16|16|16
In The Meantime,InTheMeantime_WideRatings_00190,Wide Ratings,0.43818,0.169541,0.584611,0.415070578832,low|high|high,16|54|16
In The Meantime,InTheMeantime_WideRatings_00211,Wide Ratings,0.36826,0.169541,0.531178,0.361637542508,low|medium|medium,16|38|16
In The Meantime,InTheMeantime_WideRatings_00193,Wide Ratings,0.406794666667,0.169541,0.560388,0.390847391526,low|high|medium,16|54|38
In The Meantime,InTheMeantime_WideRatings_00231,Wide Ratings,0.458151666667,0.169541,0.620303,0.45076244091,low|high|high,16|16|8
In The Meantime,InTheMeantime_WideRatings_00223,Wide Ratings,0.469360333333,0.169541,0.653929,0.484388038148,low|high|high,16|16|65
In The Meantime,InTheMeantime_WideRatings_00232,Wide Ratings,0.419595666667,0.169541,0.584611,0.415070578832,low|high|medium,16|16|38
Lead Me,LeadMe_SimilarRatings_00209,Similar Ratings,0.317989,0.288513,0.344929,0.056415128416,low|low|low,39|39|16
Lead Me,LeadMe_SimilarRatings_00216,Similar Ratings,0.393602333333,0.288513,0.547365,0.25885199709,low|low|high,39|39|45
Lead Me,LeadMe_SimilarRatings_00242,Similar Ratings,0.390061333333,0.344929,0.474807,0.129878896622,low|medium|low,39|16|6
Lead Me,LeadMe_SimilarRatings_00215,Similar Ratings,0.327963333333,0.288513,0.350448,0.061934652643,low|low|low,39|39|6
Lead Me,LeadMe_SimilarRatings_00173,Similar Ratings,0.321749666667,0.288513,0.344929,0.056415128416,low|low|low,39|36|39
Lead Me,LeadMe_SimilarRatings_00355,Similar Ratings,0.326271666667,0.288513,0.358495,0.069981673942,low|low|low,36|39|16
Lead Me,LeadMe_SimilarRatings_00175,Similar Ratings,0.383847666667,0.331807,0.474807,0.143000483551,low|low|medium,39|36|16
Lead Me,LeadMe_SimilarRatings_00284,Similar Ratings,0.401716666667,0.344929,0.509773,0.164844877815,low|medium|low,39|39|6
Lead Me,LeadMe_SimilarRatings_00679,Similar Ratings,0.332485333333,0.288513,0.358495,0.069981673942,low|low|low,39|6|16
Lead Me,LeadMe_SimilarRatings_00591,Similar Ratings,0.450898666667,0.288513,0.547365,0.25885199709,low|medium|high,39|6|45
Lead Me,LeadMe_WideRatings_00216,Wide Ratings,0.393602333333,0.288513,0.547365,0.25885199709,low|low|high,39|39|45
Lead Me,LeadMe_WideRatings_00591,Wide Ratings,0.450898666667,0.288513,0.547365,0.25885199709,low|medium|high,39|6|45
Lead Me,LeadMe_WideRatings_00366,Wide Ratings,0.46533,0.331807,0.547365,0.215558455603,low|medium|high,36|6|45
Lead Me,LeadMe_WideRatings_00588,Wide Ratings,0.449459333333,0.288513,0.543047,0.254533302315,low|medium|high,39|6|10
Lead Me,LeadMe_WideRatings_00209,Wide Ratings,0.317989,0.288513,0.344929,0.056415128416,low|low|low,39|39|16
